thisRow.t,notes,block,Trialtype,withinblocktrial,RTdec,resp,cor,dots direction,cor_resp,coherence,scale,SR_conf,RTrating,interval,interTrial.interval,subject,age,gender,handedness,
,,4,Main,12,0.9702559999968798,up,1,90,up,0.2120408163265306,conf,0.45999999999999996,0.7775145999985398,4.302515806776848,3.044446613015013,0,22,M,R,
,,4,Main,13,1.2936102999992727,down,1,270,down,0.13122448979591836,conf,0.0,0.3311040000007779,4.374119197265762,2.8314489632886564,0,22,M,R,
,,4,Main,14,0.724308300003031,up,0,270,down,0.07061224489795918,conf,0.1399999999999999,1.704987400000391,2.6312301173004813,1.8577922399790356,0,22,M,R,
,,4,Main,15,0.7769079000026977,up,0,270,down,0.19183673469387755,conf,0.0,1.3148170999993454,1.6035821908315242,3.4013664081651367,0,22,M,R,
,,4,Main,16,1.1029465000028722,down,1,270,down,0.01,conf,-0.12,1.1610196000001451,4.488189496217775,2.1495058287851707,0,22,M,R,
,,4,Main,17,0.8943342000020493,up,1,90,up,1.0,control,0.96,1.2684310999975423,4.755651966705873,3.3510473178657882,0,22,M,R,
,,4,Main,18,0.6358387000000221,up,1,90,up,0.11102040816326529,conf,0.8600000000000001,1.0903496999999334,4.855663000088896,3.8428390127885725,0,22,M,R,
,,4,Main,19,0.678675099999964,down,1,270,down,0.9797959183673469,conf,0.94,1.1622284000004584,4.079890204014031,1.5631658252376814,0,22,M,R,
,,4,Main,20,0.6206928999999946,up,1,90,up,0.9393877551020408,conf,0.96,0.7622873000000254,3.2705673619050613,1.687986525546723,0,22,M,R,
,,4,Main,21,1.1992116999972495,down,1,270,down,0.15142857142857144,conf,0.1399999999999999,0.645377600001666,3.8819485088132417,2.563306565073435,0,22,M,R,
,,4,Main,22,0.7071715999991284,up,1,90,up,0.13122448979591836,control,-0.92,2.120739699999831,3.6655301293316525,1.9846137181319432,0,22,M,R,
,,4,Main,23,0.6342786999994132,down,1,270,down,0.9595918367346938,conf,0.8999999999999999,2.949211999999534,3.314033071160349,1.9019924500411913,0,22,M,R,
